Name;Time of analysis;Indicator;Grade;Lat;Lon;Central Pressure;Max sustained wind speed;a;b;c;d;Landfall
BOLAVEN;66666;1801;23;1;1801;0;6;BOLAVEN;20180221;;;
BOLAVEN;17122918;2;2;74;1380;1006;0;;;;;
BOLAVEN;17123000;2;2;80;1375;1006;0;;;;;
BOLAVEN;17123006;2;2;86;1369;1004;0;;;;;
BOLAVEN;17123012;2;2;91;1361;1006;0;;;;;
BOLAVEN;17123018;2;2;94;1352;1004;0;;;;;
BOLAVEN;17123100;2;2;95;1343;1006;0;;;;;
BOLAVEN;17123106;2;2;95;1333;1004;0;;;;;
BOLAVEN;17123112;2;2;93;1323;1004;0;;;;;
BOLAVEN;17123118;2;2;90;1310;1004;0;;;;;
BOLAVEN;18010100;2;2;88;1299;1004;0;;;;;
BOLAVEN;18010106;2;2;87;1284;1002;0;;;;;
BOLAVEN;18010112;2;2;92;1267;1004;0;;;;;
BOLAVEN;18010118;2;2;92;1245;1004;0;;;;;
BOLAVEN;18010200;2;2;92;1224;1004;0;;;;;
BOLAVEN;18010206;2;2;91;1208;1004;0;;;;;
BOLAVEN;18010212;2;2;93;1192;1004;0;;;;;
BOLAVEN;18010218;2;2;100;1173;1004;0;;;;;
BOLAVEN;18010300;2;3;104;1160;1002;35;0;0;90030;30;
BOLAVEN;18010306;2;3;112;1148;1002;35;0;0;90030;30;
BOLAVEN;18010312;2;3;114;1133;1002;35;0;0;90030;30;
BOLAVEN;18010318;2;3;118;1122;1002;35;0;0;90030;30;
BOLAVEN;18010400;2;2;123;1110;1006;0;;;;;
BOLAVEN;18010406;2;2;123;1100;1008;0;;;;;
SANBA;66666;1802;34;2;1802;0;6;SANBA;20180322;;;
SANBA;18020800;2;2;81;1508;1006;0;;;;;
SANBA;18020806;2;2;91;1501;1004;0;;;;;
SANBA;18020812;2;2;108;1498;1006;0;;;;;
SANBA;18020818;2;2;110;1486;1004;0;;;;;
SANBA;18020900;2;2;104;1474;1006;0;;;;;
SANBA;18020906;2;2;101;1469;1004;0;;;;;
SANBA;18020912;2;2;94;1460;1008;0;;;;;
SANBA;18020918;2;2;91;1450;1006;0;;;;;
SANBA;18021000;2;2;85;1433;1008;0;;;;;
SANBA;18021006;2;2;78;1423;1004;0;;;;;
SANBA;18021012;2;2;69;1408;1004;0;;;;;
SANBA;18021018;2;2;68;1390;1002;0;;;;;
SANBA;18021100;2;2;67;1374;1002;0;;;;;
SANBA;18021106;2;3;68;1358;1000;35;0;0;70120;60;
SANBA;18021112;2;3;70;1344;1000;35;0;0;70120;60;
SANBA;18021118;2;3;70;1331;1000;35;0;0;70120;60;
SANBA;18021200;2;3;71;1319;1000;35;0;0;70180;90;
SANBA;18021206;2;3;72;1307;1000;35;0;0;70240;90;
SANBA;18021212;2;3;77;1293;1000;35;0;0;70240;90;
SANBA;18021218;2;3;84;1280;1000;35;0;0;70210;90;
SANBA;18021300;2;3;94;1264;1002;35;0;0;80210;90;
SANBA;18021306;2;2;96;1246;1006;0;;;;;
SANBA;18021312;2;2;91;1239;1008;0;;;;;
SANBA;18021318;2;2;86;1220;1008;0;;;;;
SANBA;18021400;2;2;72;1205;1008;0;;;;;
SANBA;18021406;2;2;65;1199;1008;0;;;;;
SANBA;18021412;2;2;67;1200;1010;0;;;;;
SANBA;18021418;2;2;72;1200;1008;0;;;;;
SANBA;18021500;2;2;81;1194;1010;0;;;;;
SANBA;18021506;2;2;87;1192;1008;0;;;;;
SANBA;18021512;2;2;89;1185;1010;0;;;;;
SANBA;18021518;2;2;94;1177;1010;0;;;;;
SANBA;18021600;2;2;100;1161;1012;0;;;;;
SANBA;18021606;2;2;98;1157;1010;0;;;;;
JELAWAT;66666;1803;31;3;1803;0;6;JELAWAT;20180425;;;
JELAWAT;18032418;2;2;58;1430;1004;0;;;;;
JELAWAT;18032500;2;2;62;1417;1002;0;;;;;
JELAWAT;18032506;2;3;66;1403;1000;35;0;0;80090;60;
JELAWAT;18032512;2;3;70;1392;1000;35;0;0;80090;60;
JELAWAT;18032518;2;3;73;1384;1000;35;0;0;80090;60;
JELAWAT;18032600;2;3;76;1376;1000;35;0;0;80090;60;
JELAWAT;18032606;2;3;80;1367;1000;35;0;0;80090;60;
JELAWAT;18032612;2;3;87;1358;1000;35;0;0;80090;60;
JELAWAT;18032618;2;3;94;1353;1000;35;0;0;80120;90;
JELAWAT;18032700;2;3;103;1350;1000;35;0;0;80120;90;
JELAWAT;18032706;2;3;110;1349;1000;35;0;0;80120;90;
JELAWAT;18032712;2;3;116;1348;1000;35;0;0;80150;90;
JELAWAT;18032718;2;3;123;1348;998;40;0;0;80150;90;
JELAWAT;18032800;2;3;130;1349;994;45;0;0;80150;90;
JELAWAT;18032806;2;4;137;1350;990;50;0;0;80180;90;
JELAWAT;18032812;2;4;145;1352;990;50;0;0;80180;90;
JELAWAT;18032818;2;4;153;1353;985;55;80060;40;80180;90;
JELAWAT;18032900;2;5;153;1353;975;65;80060;40;80150;90;
JELAWAT;18032906;2;5;153;1356;965;70;90050;50;80150;90;
JELAWAT;18032912;2;5;153;1362;955;80;90050;50;80150;90;
JELAWAT;18032918;2;5;155;1368;945;85;90050;50;80150;90;
JELAWAT;18033000;2;5;157;1373;935;95;90050;50;80150;90;
JELAWAT;18033006;2;5;162;1381;915;105;90050;50;80150;90;
